source_file,experiment_code,run,week,temperature,star_id,date,time,flip_number,start_frame,end_frame,duration_frames,duration_seconds,seconds_from_first_flip_start,total_frames
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i11\0-11_12_23-14_51_47-i11.csv,R1_W1_12C,R1,W1,12C,i11,2023-11-12,14:51:47,1,17,121,105,52.5,0.0,1361
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i11\0-11_12_23-14_51_47-i11.csv,R1_W1_12C,R1,W1,12C,i11,2023-11-12,14:51:47,2,140,195,56,28.0,61.5,1361
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i11\0-11_12_23-14_51_47-i11.csv,R1_W1_12C,R1,W1,12C,i11,2023-11-12,14:51:47,3,229,339,111,55.5,106.0,1361
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i11\0-11_12_23-14_51_47-i11.csv,R1_W1_12C,R1,W1,12C,i11,2023-11-12,14:51:47,4,367,440,74,37.0,175.0,1361
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i11\0-11_12_23-14_51_47-i11.csv,R1_W1_12C,R1,W1,12C,i11,2023-11-12,14:51:47,5,455,514,60,30.0,219.0,1361
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i11\0-11_12_23-14_51_47-i11.csv,R1_W1_12C,R1,W1,12C,i11,2023-11-12,14:51:47,6,531,601,71,35.5,257.0,1361
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i11\0-11_12_23-14_51_47-i11.csv,R1_W1_12C,R1,W1,12C,i11,2023-11-12,14:51:47,7,626,699,74,37.0,304.5,1361
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i11\0-11_12_23-14_51_47-i11.csv,R1_W1_12C,R1,W1,12C,i11,2023-11-12,14:51:47,8,720,767,48,24.0,351.5,1361
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i11\0-11_12_23-14_51_47-i11.csv,R1_W1_12C,R1,W1,12C,i11,2023-11-12,14:51:47,9,791,825,35,17.5,387.0,1361
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i11\0-11_12_23-14_51_47-i11.csv,R1_W1_12C,R1,W1,12C,i11,2023-11-12,14:51:47,10,852,893,42,21.0,417.5,1361
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i11\0-11_12_23-14_51_47-i11.csv,R1_W1_12C,R1,W1,12C,i11,2023-11-12,14:51:47,11,926,961,36,18.0,454.5,1361
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i11\0-11_12_23-14_51_47-i11.csv,R1_W1_12C,R1,W1,12C,i11,2023-11-12,14:51:47,12,986,1036,51,25.5,484.5,1361
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i11\0-11_12_23-14_51_47-i11.csv,R1_W1_12C,R1,W1,12C,i11,2023-11-12,14:51:47,13,1063,1118,56,28.0,523.0,1361
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i11\0-11_12_23-14_51_47-i11.csv,R1_W1_12C,R1,W1,12C,i11,2023-11-12,14:51:47,14,1147,1188,42,21.0,565.0,1361
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i11\0-11_12_23-14_51_47-i11.csv,R1_W1_12C,R1,W1,12C,i11,2023-11-12,14:51:47,15,1212,1223,12,6.0,597.5,1361
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i11\0-11_12_23-14_51_47-i11.csv,R1_W1_12C,R1,W1,12C,i11,2023-11-12,14:51:47,16,1224,1278,55,27.5,603.5,1361
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i3\0-11_12_23-14_10_13-i3.csv,R1_W1_12C,R1,W1,12C,i3,2023-11-12,14:10:13,1,56,116,61,30.5,0.0,1265
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i3\0-11_12_23-14_10_13-i3.csv,R1_W1_12C,R1,W1,12C,i3,2023-11-12,14:10:13,2,134,159,26,13.0,39.0,1265
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i3\0-11_12_23-14_10_13-i3.csv,R1_W1_12C,R1,W1,12C,i3,2023-11-12,14:10:13,3,189,275,87,43.5,66.5,1265
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i3\0-11_12_23-14_10_13-i3.csv,R1_W1_12C,R1,W1,12C,i3,2023-11-12,14:10:13,4,296,376,81,40.5,120.0,1265
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i3\0-11_12_23-14_10_13-i3.csv,R1_W1_12C,R1,W1,12C,i3,2023-11-12,14:10:13,5,402,468,67,33.5,173.0,1265
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i3\0-11_12_23-14_10_13-i3.csv,R1_W1_12C,R1,W1,12C,i3,2023-11-12,14:10:13,6,493,539,47,23.5,218.5,1265
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i3\0-11_12_23-14_10_13-i3.csv,R1_W1_12C,R1,W1,12C,i3,2023-11-12,14:10:13,7,560,600,41,20.5,252.0,1265
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i3\0-11_12_23-14_10_13-i3.csv,R1_W1_12C,R1,W1,12C,i3,2023-11-12,14:10:13,8,635,661,27,13.5,289.5,1265
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i3\0-11_12_23-14_10_13-i3.csv,R1_W1_12C,R1,W1,12C,i3,2023-11-12,14:10:13,9,693,750,58,29.0,318.5,1265
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i3\0-11_12_23-14_10_13-i3.csv,R1_W1_12C,R1,W1,12C,i3,2023-11-12,14:10:13,10,778,826,49,24.5,361.0,1265
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i3\0-11_12_23-14_10_13-i3.csv,R1_W1_12C,R1,W1,12C,i3,2023-11-12,14:10:13,11,872,913,42,21.0,408.0,1265
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i3\0-11_12_23-14_10_13-i3.csv,R1_W1_12C,R1,W1,12C,i3,2023-11-12,14:10:13,12,955,973,19,9.5,449.5,1265
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i3\0-11_12_23-14_10_13-i3.csv,R1_W1_12C,R1,W1,12C,i3,2023-11-12,14:10:13,13,1003,1032,30,15.0,473.5,1265
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i3\0-11_12_23-14_10_13-i3.csv,R1_W1_12C,R1,W1,12C,i3,2023-11-12,14:10:13,14,1057,1103,47,23.5,500.5,1265
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i3\0-11_12_23-14_10_13-i3.csv,R1_W1_12C,R1,W1,12C,i3,2023-11-12,14:10:13,15,1126,1153,28,14.0,535.0,1265
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i3\0-11_12_23-14_10_13-i3.csv,R1_W1_12C,R1,W1,12C,i3,2023-11-12,14:10:13,16,1181,1226,46,23.0,562.5,1265
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i8\0-11_12_23-14_36_34-i8.csv,R1_W1_12C,R1,W1,12C,i8,2023-11-12,14:36:34,1,14,413,400,200.0,0.0,1255
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i8\0-11_12_23-14_36_34-i8.csv,R1_W1_12C,R1,W1,12C,i8,2023-11-12,14:36:34,2,471,501,31,15.5,228.5,1255
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i8\0-11_12_23-14_36_34-i8.csv,R1_W1_12C,R1,W1,12C,i8,2023-11-12,14:36:34,3,567,614,48,24.0,276.5,1255
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i8\0-11_12_23-14_36_34-i8.csv,R1_W1_12C,R1,W1,12C,i8,2023-11-12,14:36:34,4,634,657,24,12.0,310.0,1255
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i8\0-11_12_23-14_36_34-i8.csv,R1_W1_12C,R1,W1,12C,i8,2023-11-12,14:36:34,5,704,740,37,18.5,345.0,1255
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i8\0-11_12_23-14_36_34-i8.csv,R1_W1_12C,R1,W1,12C,i8,2023-11-12,14:36:34,6,767,847,81,40.5,376.5,1255
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i8\0-11_12_23-14_36_34-i8.csv,R1_W1_12C,R1,W1,12C,i8,2023-11-12,14:36:34,7,863,940,78,39.0,424.5,1255
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i8\0-11_12_23-14_36_34-i8.csv,R1_W1_12C,R1,W1,12C,i8,2023-11-12,14:36:34,8,962,1006,45,22.5,474.0,1255
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i8\0-11_12_23-14_36_34-i8.csv,R1_W1_12C,R1,W1,12C,i8,2023-11-12,14:36:34,9,1024,1084,61,30.5,505.0,1255
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i8\0-11_12_23-14_36_34-i8.csv,R1_W1_12C,R1,W1,12C,i8,2023-11-12,14:36:34,10,1095,1157,63,31.5,540.5,1255
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i8\0-11_12_23-14_36_34-i8.csv,R1_W1_12C,R1,W1,12C,i8,2023-11-12,14:36:34,11,1168,1218,51,25.5,577.0,1255
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\p12\0-11_12_23-13_56_34-p12.csv,R1_W1_12C,R1,W1,12C,p12,2023-11-12,13:56:34,1,40,99,60,30.0,0.0,1247
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\p12\0-11_12_23-13_56_34-p12.csv,R1_W1_12C,R1,W1,12C,p12,2023-11-12,13:56:34,2,139,191,53,26.5,49.5,1247
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\p12\0-11_12_23-13_56_34-p12.csv,R1_W1_12C,R1,W1,12C,p12,2023-11-12,13:56:34,3,212,301,90,45.0,86.0,1247
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\p12\0-11_12_23-13_56_34-p12.csv,R1_W1_12C,R1,W1,12C,p12,2023-11-12,13:56:34,4,324,398,75,37.5,142.0,1247
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\p12\0-11_12_23-13_56_34-p12.csv,R1_W1_12C,R1,W1,12C,p12,2023-11-12,13:56:34,5,411,512,102,51.0,185.5,1247
