source_file,experiment_code,run,week,temperature,star_id,date,time,flip_number,start_frame,end_frame,duration_frames,duration_seconds,seconds_from_first_flip_start,total_frames,flip_start_time,flip_end_time,total_duration_seconds,cumulative_flip_count
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i11\0-11_12_23-14_51_47-i11.csv,R1_W1_12C,R1,W1,12C,i11,2023-11-12,14:51:47,2,140,195,56,28.0,61.5,1361,70.0,97.5,680.5,1
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i11\0-11_12_23-14_51_47-i11.csv,R1_W1_12C,R1,W1,12C,i11,2023-11-12,14:51:47,3,229,339,111,55.5,106.0,1361,114.5,169.5,680.5,2
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i11\0-11_12_23-14_51_47-i11.csv,R1_W1_12C,R1,W1,12C,i11,2023-11-12,14:51:47,4,367,440,74,37.0,175.0,1361,183.5,220.0,680.5,3
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i11\0-11_12_23-14_51_47-i11.csv,R1_W1_12C,R1,W1,12C,i11,2023-11-12,14:51:47,5,455,514,60,30.0,219.0,1361,227.5,257.0,680.5,4
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i11\0-11_12_23-14_51_47-i11.csv,R1_W1_12C,R1,W1,12C,i11,2023-11-12,14:51:47,6,531,601,71,35.5,257.0,1361,265.5,300.5,680.5,5
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i3\0-11_12_23-14_10_13-i3.csv,R1_W1_12C,R1,W1,12C,i3,2023-11-12,14:10:13,2,134,159,26,13.0,39.0,1265,67.0,79.5,632.5,1
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i3\0-11_12_23-14_10_13-i3.csv,R1_W1_12C,R1,W1,12C,i3,2023-11-12,14:10:13,3,189,275,87,43.5,66.5,1265,94.5,137.5,632.5,2
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i3\0-11_12_23-14_10_13-i3.csv,R1_W1_12C,R1,W1,12C,i3,2023-11-12,14:10:13,4,296,376,81,40.5,120.0,1265,148.0,188.0,632.5,3
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i3\0-11_12_23-14_10_13-i3.csv,R1_W1_12C,R1,W1,12C,i3,2023-11-12,14:10:13,5,402,468,67,33.5,173.0,1265,201.0,234.0,632.5,4
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i3\0-11_12_23-14_10_13-i3.csv,R1_W1_12C,R1,W1,12C,i3,2023-11-12,14:10:13,6,493,539,47,23.5,218.5,1265,246.5,269.5,632.5,5
